Abstract from facility WITHOUT CoC accreditation/All Sites/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
23,22-<23 mo,26,0,14,100.00%,69.36%,99.81%,94.46%,100.00%,72.59%,0.00%,3.32%,0.00%,3.52%
24,23-<24 mo,12,0,12,+,+,99.85%,94.32%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Nasopharynx/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,166,4,8,97.33%,97.33%,99.84%,99.84%,97.49%,97.49%,1.55%,1.55%,1.55%,1.55%
2,1-<2 mo,154,4,7,94.90%,92.38%,99.84%,99.68%,95.04%,92.66%,2.50%,2.82%,2.51%,2.83%
3,2-<3 mo,143,2,4,97.93%,90.54%,99.85%,99.53%,98.04%,90.92%,1.72%,3.11%,1.72%,3.13%
4,3-<4 mo,137,4,9,95.00%,86.21%,99.85%,99.38%,95.14%,86.71%,2.72%,3.68%,2.73%,3.72%
5,4-<5 mo,124,1,12,99.58%,85.81%,99.85%,99.23%,99.59%,86.32%,0.42%,3.70%,0.42%,3.74%
6,5-<6 mo,111,3,13,97.62%,83.61%,99.84%,99.07%,97.65%,84.16%,1.38%,3.89%,1.38%,3.93%
7,6-<7 mo,95,0,6,100.00%,83.61%,99.87%,98.94%,100.00%,84.16%,0.00%,3.89%,0.00%,3.93%
8,7-<8 mo,89,1,4,96.76%,81.12%,99.87%,98.80%,96.85%,81.97%,3.12%,4.38%,3.13%,4.46%
9,8-<9 mo,84,0,4,100.00%,81.12%,99.87%,98.68%,100.00%,81.97%,0.00%,4.38%,0.00%,4.46%
10,9-<10 mo,80,2,7,98.75%,79.98%,99.87%,98.54%,98.76%,80.85%,0.86%,4.44%,0.86%,4.52%
11,10-<11 mo,71,1,4,95.62%,76.87%,99.87%,98.41%,95.71%,77.88%,4.15%,5.04%,4.16%,5.16%
12,11-<12 mo,66,1,10,99.25%,76.21%,99.87%,98.29%,99.26%,77.23%,0.74%,5.08%,0.74%,5.20%
13,12-<13 mo,55,1,2,99.17%,75.50%,99.88%,98.17%,99.18%,76.52%,0.82%,5.11%,0.82%,5.24%
14,13-<14 mo,52,0,4,100.00%,75.50%,99.88%,98.05%,100.00%,76.52%,0.00%,5.11%,0.00%,5.24%
15,14-<15 mo,48,0,5,100.00%,75.50%,99.88%,97.93%,100.00%,76.52%,0.00%,5.11%,0.00%,5.24%
16,15-<16 mo,43,0,3,100.00%,75.50%,99.88%,97.81%,100.00%,76.52%,0.00%,5.11%,0.00%,5.24%
17,16-<17 mo,40,0,2,100.00%,75.50%,99.87%,97.68%,100.00%,76.52%,0.00%,5.11%,0.00%,5.24%
18,17-<18 mo,38,1,4,98.83%,74.52%,99.87%,97.55%,98.84%,75.57%,1.14%,5.19%,1.15%,5.31%
19,18-<19 mo,33,2,8,96.99%,72.11%,99.87%,97.43%,96.99%,73.15%,2.02%,5.38%,2.02%,5.50%
20,19-<20 mo,23,0,3,100.00%,72.11%,99.87%,97.31%,100.00%,73.15%,0.00%,5.38%,0.00%,5.50%
21,20-<21 mo,20,0,8,100.00%,72.11%,99.86%,97.17%,100.00%,73.15%,0.00%,5.38%,0.00%,5.50%
22,21-<22 mo,12,0,7,+,+,99.87%,97.05%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Tonsil/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,560,3,20,99.38%,99.38%,99.80%,99.80%,99.58%,99.58%,0.40%,0.40%,0.40%,0.40%
2,1-<2 mo,537,5,28,98.59%,97.98%,99.80%,99.60%,98.77%,98.36%,0.67%,0.77%,0.67%,0.77%
3,2-<3 mo,504,6,32,98.11%,96.15%,99.80%,99.39%,98.31%,96.73%,0.81%,1.08%,0.81%,1.09%
4,3-<4 mo,466,7,14,97.80%,94.07%,99.80%,99.19%,98.00%,94.82%,0.88%,1.33%,0.89%,1.35%
5,4-<5 mo,445,8,19,97.47%,91.76%,99.80%,98.99%,97.67%,92.66%,0.97%,1.55%,0.97%,1.57%
6,5-<6 mo,418,6,19,97.93%,89.93%,99.81%,98.80%,98.12%,90.98%,0.93%,1.70%,0.93%,1.74%
7,6-<7 mo,393,1,27,99.44%,89.46%,99.81%,98.61%,99.58%,90.62%,0.56%,1.75%,0.56%,1.79%
8,7-<8 mo,365,4,26,98.39%,88.10%,99.81%,98.42%,98.57%,89.41%,0.88%,1.85%,0.88%,1.90%
9,8-<9 mo,335,1,19,99.79%,87.89%,99.81%,98.23%,99.80%,89.25%,0.21%,1.86%,0.21%,1.91%
10,9-<10 mo,315,1,23,99.76%,87.67%,99.81%,98.04%,99.79%,89.08%,0.24%,1.88%,0.24%,1.92%
11,10-<11 mo,291,3,15,98.29%,86.27%,99.80%,97.85%,98.47%,88.04%,1.04%,2.00%,1.04%,2.07%
12,11-<12 mo,273,1,23,99.71%,86.01%,99.81%,97.66%,99.75%,87.80%,0.28%,2.02%,0.28%,2.09%
13,12-<13 mo,249,2,16,98.81%,85.06%,99.78%,97.45%,99.01%,87.09%,0.92%,2.11%,0.92%,2.20%
14,13-<14 mo,231,4,21,98.73%,83.88%,99.78%,97.23%,98.78%,86.01%,0.63%,2.18%,0.63%,2.27%
15,14-<15 mo,206,2,20,97.73%,82.17%,99.77%,97.01%,97.90%,84.48%,1.57%,2.40%,1.57%,2.51%
16,15-<16 mo,184,1,20,98.69%,81.24%,99.79%,96.81%,98.85%,83.62%,1.29%,2.52%,1.29%,2.64%
17,16-<17 mo,163,0,23,100.00%,81.24%,99.80%,96.62%,100.00%,83.62%,0.00%,2.52%,0.00%,2.64%
18,17-<18 mo,140,1,26,98.25%,80.02%,99.80%,96.42%,98.39%,82.54%,1.72%,2.71%,1.72%,2.86%
19,18-<19 mo,113,0,16,100.00%,80.02%,99.80%,96.23%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
20,19-<20 mo,97,0,21,100.00%,80.02%,99.82%,96.06%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
21,20-<21 mo,76,0,23,100.00%,80.02%,99.81%,95.88%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
22,21-<22 mo,53,0,16,100.00%,80.02%,99.82%,95.71%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
23,22-<23 mo,37,0,21,100.00%,80.02%,99.83%,95.56%,100.00%,82.54%,0.00%,2.71%,0.00%,2.86%
24,23-<24 mo,16,0,16,+,+,99.86%,95.42%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Oropharynx/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,178,7,5,95.89%,95.89%,99.71%,99.71%,96.17%,96.17%,1.58%,1.58%,1.59%,1.59%
2,1-<2 mo,166,2,9,98.72%,94.68%,99.73%,99.45%,98.96%,95.18%,0.94%,1.80%,0.95%,1.81%
3,2-<3 mo,155,10,9,92.21%,87.43%,99.74%,99.19%,92.43%,88.07%,2.37%,2.72%,2.38%,2.75%
4,3-<4 mo,136,3,11,97.63%,85.37%,99.75%,98.94%,97.88%,86.22%,1.41%,2.91%,1.42%,2.96%
5,4-<5 mo,122,3,2,97.45%,83.20%,99.75%,98.69%,97.70%,84.24%,1.52%,3.11%,1.52%,3.17%
6,5-<6 mo,117,5,8,94.70%,79.01%,99.75%,98.45%,94.93%,80.15%,2.36%,3.43%,2.36%,3.50%
7,6-<7 mo,104,5,4,94.79%,75.03%,99.75%,98.21%,95.03%,76.28%,2.38%,3.68%,2.39%,3.77%
8,7-<8 mo,95,3,5,96.79%,72.73%,99.77%,97.98%,97.00%,74.07%,1.91%,3.79%,1.91%,3.90%
9,8-<9 mo,87,1,4,98.32%,71.69%,99.76%,97.75%,98.49%,73.10%,1.65%,3.84%,1.66%,3.95%
10,9-<10 mo,82,2,10,97.07%,69.80%,99.81%,97.57%,97.24%,71.29%,2.13%,3.93%,2.14%,4.06%
11,10-<11 mo,70,2,7,97.51%,67.61%,99.81%,97.39%,97.53%,69.15%,1.68%,4.16%,1.68%,4.29%
12,11-<12 mo,61,2,8,94.85%,64.70%,99.81%,97.21%,94.97%,66.24%,3.42%,4.33%,3.43%,4.49%
13,12-<13 mo,51,2,4,94.94%,61.86%,99.80%,97.02%,95.11%,63.44%,3.75%,4.54%,3.77%,4.72%
14,13-<14 mo,45,1,6,98.09%,60.33%,99.81%,96.83%,98.11%,61.94%,1.84%,4.72%,1.85%,4.90%
15,14-<15 mo,38,3,4,90.19%,54.32%,99.81%,96.65%,90.32%,55.91%,5.48%,5.30%,5.50%,5.49%
16,15-<16 mo,31,0,5,100.00%,54.32%,99.81%,96.47%,100.00%,55.91%,0.00%,5.30%,0.00%,5.49%
17,16-<17 mo,26,0,4,100.00%,54.32%,99.80%,96.28%,100.00%,55.91%,0.00%,5.30%,0.00%,5.49%
18,17-<18 mo,22,0,3,100.00%,54.32%,99.81%,96.10%,100.00%,55.91%,0.00%,5.30%,0.00%,5.49%
19,18-<19 mo,19,0,3,100.00%,54.32%,99.81%,95.92%,100.00%,55.91%,0.00%,5.30%,0.00%,5.49%
20,19-<20 mo,16,0,4,100.00%,54.32%,99.79%,95.72%,100.00%,55.91%,0.00%,5.30%,0.00%,5.49%
21,20-<21 mo,12,0,3,100.00%,54.32%,99.79%,95.52%,100.00%,55.91%,0.00%,5.30%,0.00%,5.49%
22,21-<22 mo,9,0,3,100.00%,54.32%,99.81%,95.34%,100.00%,55.91%,0.00%,5.30%,0.00%,5.49%
23,22-<23 mo,6,0,4,+,+,99.78%,95.13%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Hypopharynx/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,84,4,5,95.74%,95.74%,99.73%,99.73%,95.98%,95.98%,2.10%,2.10%,2.11%,2.11%
2,1-<2 mo,75,4,2,95.66%,91.66%,99.75%,99.48%,95.89%,92.11%,2.12%,2.82%,2.13%,2.84%
3,2-<3 mo,69,4,1,94.29%,86.54%,99.74%,99.22%,94.51%,87.15%,2.74%,3.58%,2.75%,3.62%
4,3-<4 mo,64,6,3,90.92%,78.81%,99.75%,98.97%,91.15%,79.60%,3.61%,4.51%,3.62%,4.56%
5,4-<5 mo,55,3,2,95.11%,75.30%,99.74%,98.71%,95.34%,76.22%,2.73%,4.71%,2.73%,4.78%
6,5-<6 mo,50,2,3,96.29%,72.79%,99.74%,98.46%,96.52%,73.84%,2.56%,4.83%,2.57%,4.92%
7,6-<7 mo,45,2,2,94.79%,68.58%,99.74%,98.21%,94.84%,69.67%,3.63%,5.61%,3.63%,5.70%
8,7-<8 mo,41,2,2,95.62%,65.58%,99.74%,97.95%,95.81%,66.85%,2.94%,5.74%,2.95%,5.86%
9,8-<9 mo,37,3,2,90.36%,58.66%,99.73%,97.69%,90.57%,59.95%,5.43%,6.57%,5.44%,6.70%
10,9-<10 mo,32,3,3,86.57%,50.19%,99.72%,97.42%,86.83%,51.56%,7.78%,7.50%,7.79%,7.64%
11,10-<11 mo,26,2,4,+,+,99.73%,97.16%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Other Oral Cavity and Pharynx/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,46,9,1,82.33%,82.33%,99.66%,99.66%,82.59%,82.59%,5.27%,5.27%,5.30%,5.30%
2,1-<2 mo,36,0,1,100.00%,82.33%,99.67%,99.33%,100.00%,82.59%,0.00%,5.27%,0.00%,5.30%
3,2-<3 mo,35,2,2,93.34%,76.50%,99.65%,98.98%,93.62%,77.19%,4.51%,6.33%,4.53%,6.41%
4,3-<4 mo,31,1,0,96.02%,73.69%,99.64%,98.63%,96.31%,74.52%,3.79%,6.57%,3.82%,6.69%
5,4-<5 mo,30,5,0,82.27%,61.93%,99.61%,98.25%,82.54%,62.78%,7.00%,6.95%,7.05%,7.11%
6,5-<6 mo,25,1,2,93.75%,59.11%,99.63%,97.88%,94.03%,59.99%,5.79%,6.87%,5.83%,7.06%
7,6-<7 mo,22,2,0,87.93%,52.03%,99.72%,97.61%,88.13%,52.89%,7.96%,7.60%,7.99%,7.79%
8,7-<8 mo,20,0,1,100.00%,52.03%,99.70%,97.33%,100.00%,52.89%,0.00%,7.60%,0.00%,7.79%
9,8-<9 mo,19,1,0,96.93%,50.18%,99.70%,97.04%,96.97%,51.12%,2.89%,7.66%,2.90%,7.85%
10,9-<10 mo,18,1,1,93.64%,45.44%,99.70%,96.76%,93.65%,46.39%,5.61%,8.24%,5.62%,8.43%
11,10-<11 mo,16,0,0,100.00%,45.44%,99.70%,96.48%,100.00%,46.39%,0.00%,8.24%,0.00%,8.43%
12,11-<12 mo,16,1,1,96.32%,43.47%,99.70%,96.19%,96.36%,44.45%,3.43%,8.27%,3.43%,8.47%
13,12-<13 mo,14,1,1,91.25%,40.66%,99.68%,95.89%,91.46%,41.91%,7.83%,8.08%,7.88%,8.37%
14,13-<14 mo,12,0,0,100.00%,40.66%,99.67%,95.59%,100.00%,41.91%,0.00%,8.08%,0.00%,8.37%
15,14-<15 mo,12,0,1,100.00%,40.66%,99.67%,95.29%,100.00%,41.91%,0.00%,8.08%,0.00%,8.37%
16,15-<16 mo,11,0,0,100.00%,40.66%,99.67%,94.98%,100.00%,41.91%,0.00%,8.08%,0.00%,8.37%
17,16-<17 mo,11,2,0,83.54%,35.28%,99.67%,94.68%,83.78%,36.57%,10.68%,7.87%,10.74%,8.21%
18,17-<18 mo,9,0,2,100.00%,35.28%,99.63%,94.35%,100.00%,36.57%,0.00%,7.87%,0.00%,8.21%
19,18-<19 mo,7,0,1,100.00%,35.28%,99.62%,94.00%,100.00%,36.57%,0.00%,7.87%,0.00%,8.21%
20,19-<20 mo,6,0,2,100.00%,35.28%,99.63%,93.67%,100.00%,36.57%,0.00%,7.87%,0.00%,8.21%
21,20-<21 mo,4,0,0,100.00%,35.28%,99.73%,93.43%,100.00%,36.57%,0.00%,7.87%,0.00%,8.21%
22,21-<22 mo,4,0,1,+,+,99.73%,93.19%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 9.03887 intervals; Relative = 9.23697 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Digestive System/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"23,898","2,354","1,288",89.78%,89.78%,99.74%,99.74%,90.00%,90.00%,0.20%,0.20%,0.20%,0.20%
2,1-<2 mo,"20,256","1,497",911,92.19%,82.92%,99.75%,99.49%,92.41%,83.32%,0.19%,0.25%,0.19%,0.25%
3,2-<3 mo,"17,848","1,101",871,93.39%,77.64%,99.76%,99.26%,93.61%,78.17%,0.19%,0.27%,0.19%,0.28%
4,3-<4 mo,"15,876",727,798,94.98%,73.96%,99.77%,99.02%,95.20%,74.61%,0.18%,0.29%,0.18%,0.29%
5,4-<5 mo,"14,351",496,789,96.21%,71.32%,99.77%,98.80%,96.43%,72.08%,0.17%,0.30%,0.17%,0.31%
6,5-<6 mo,"13,066",382,768,96.79%,69.16%,99.77%,98.58%,97.01%,70.04%,0.16%,0.31%,0.16%,0.32%
7,6-<7 mo,"11,916",300,658,97.23%,67.37%,99.77%,98.36%,97.44%,68.35%,0.16%,0.32%,0.16%,0.32%
8,7-<8 mo,"10,958",270,661,97.30%,65.66%,99.78%,98.14%,97.52%,66.73%,0.16%,0.32%,0.16%,0.33%
9,8-<9 mo,"10,027",220,715,97.56%,64.16%,99.78%,97.92%,97.78%,65.33%,0.16%,0.33%,0.17%,0.34%
10,9-<10 mo,"9,092",189,647,97.68%,62.78%,99.78%,97.71%,97.90%,64.04%,0.17%,0.34%,0.17%,0.35%
11,10-<11 mo,"8,256",136,642,98.14%,61.70%,99.78%,97.49%,98.36%,63.05%,0.16%,0.34%,0.16%,0.35%
12,11-<12 mo,"7,478",141,603,97.93%,60.48%,99.78%,97.28%,98.15%,61.92%,0.18%,0.35%,0.18%,0.36%
13,12-<13 mo,"6,734",108,522,98.19%,59.47%,99.76%,97.05%,98.43%,61.00%,0.18%,0.36%,0.18%,0.37%
14,13-<14 mo,"6,104",96,557,98.31%,58.49%,99.76%,96.82%,98.55%,60.12%,0.18%,0.37%,0.18%,0.38%
15,14-<15 mo,"5,451",78,545,98.38%,57.62%,99.76%,96.59%,98.61%,59.33%,0.19%,0.37%,0.19%,0.39%
16,15-<16 mo,"4,828",74,494,98.22%,56.69%,99.76%,96.36%,98.46%,58.48%,0.21%,0.38%,0.21%,0.40%
17,16-<17 mo,"4,260",66,569,98.20%,55.75%,99.77%,96.14%,98.43%,57.61%,0.22%,0.39%,0.23%,0.41%
18,17-<18 mo,"3,625",51,557,98.33%,54.90%,99.77%,95.93%,98.56%,56.83%,0.24%,0.40%,0.24%,0.42%
19,18-<19 mo,"3,017",46,498,98.18%,53.99%,99.77%,95.71%,98.41%,55.99%,0.27%,0.42%,0.27%,0.44%
20,19-<20 mo,"2,473",20,520,99.02%,53.50%,99.77%,95.50%,99.25%,55.58%,0.22%,0.43%,0.23%,0.45%
21,20-<21 mo,"1,933",23,529,98.55%,52.76%,99.77%,95.28%,98.78%,54.91%,0.31%,0.45%,0.31%,0.47%
22,21-<22 mo,"1,381",12,474,98.94%,52.20%,99.76%,95.06%,99.18%,54.44%,0.32%,0.47%,0.32%,0.50%
23,22-<23 mo,895,10,486,98.33%,51.39%,99.77%,94.84%,98.56%,53.69%,0.55%,0.53%,0.55%,0.56%
24,23-<24 mo,399,1,398,+,+,99.78%,94.64%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Esophagus/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,979,124,45,87.02%,87.02%,99.74%,99.74%,87.24%,87.24%,1.10%,1.10%,1.10%,1.10%
2,1-<2 mo,810,81,30,89.94%,78.37%,99.75%,99.49%,90.17%,78.76%,1.07%,1.35%,1.07%,1.35%
3,2-<3 mo,699,76,31,88.66%,69.58%,99.75%,99.24%,88.88%,70.08%,1.24%,1.53%,1.24%,1.54%
4,3-<4 mo,592,44,27,92.24%,64.39%,99.76%,99.00%,92.46%,64.98%,1.13%,1.60%,1.13%,1.62%
5,4-<5 mo,521,43,29,91.42%,59.00%,99.77%,98.77%,91.63%,59.66%,1.27%,1.67%,1.27%,1.69%
6,5-<6 mo,449,29,25,93.30%,55.03%,99.77%,98.54%,93.52%,55.77%,1.22%,1.72%,1.22%,1.74%
7,6-<7 mo,395,17,15,95.62%,52.73%,99.77%,98.32%,95.84%,53.54%,1.05%,1.73%,1.05%,1.76%
8,7-<8 mo,363,26,25,92.54%,48.74%,99.77%,98.10%,92.76%,49.59%,1.43%,1.77%,1.43%,1.81%
9,8-<9 mo,312,15,25,95.19%,46.36%,99.77%,97.87%,95.41%,47.27%,1.23%,1.80%,1.24%,1.83%
10,9-<10 mo,272,13,26,94.54%,43.76%,99.77%,97.65%,94.75%,44.73%,1.46%,1.83%,1.46%,1.87%
11,10-<11 mo,233,14,20,93.51%,41.05%,99.78%,97.44%,93.72%,42.03%,1.68%,1.85%,1.69%,1.90%
12,11-<12 mo,199,9,16,95.12%,39.15%,99.77%,97.22%,95.33%,40.15%,1.60%,1.87%,1.60%,1.92%
13,12-<13 mo,174,5,15,97.04%,37.99%,99.77%,97.00%,97.26%,39.04%,1.32%,1.89%,1.33%,1.94%
14,13-<14 mo,154,5,18,96.60%,36.70%,99.76%,96.77%,96.83%,37.80%,1.52%,1.91%,1.52%,1.97%
15,14-<15 mo,131,2,13,98.49%,36.07%,99.76%,96.55%,98.54%,37.18%,1.07%,1.93%,1.07%,1.99%
16,15-<16 mo,116,5,11,95.07%,34.53%,99.76%,96.32%,95.27%,35.67%,2.13%,1.97%,2.14%,2.04%
17,16-<17 mo,100,6,20,93.60%,32.32%,99.77%,96.10%,93.82%,33.46%,2.64%,2.05%,2.65%,2.12%
18,17-<18 mo,74,1,12,98.49%,31.75%,99.75%,95.86%,98.51%,32.89%,1.47%,2.08%,1.47%,2.16%
19,18-<19 mo,61,3,15,92.50%,29.88%,99.77%,95.65%,92.64%,30.97%,3.94%,2.20%,3.96%,2.29%
20,19-<20 mo,43,2,5,96.44%,28.51%,99.77%,95.43%,96.47%,29.61%,2.35%,2.32%,2.35%,2.42%
21,20-<21 mo,36,1,9,97.88%,27.80%,99.79%,95.23%,97.91%,28.89%,2.04%,2.37%,2.04%,2.47%
22,21-<22 mo,26,0,7,100.00%,27.80%,99.76%,95.01%,100.00%,28.89%,0.00%,2.37%,0.00%,2.47%
23,22-<23 mo,19,1,13,95.75%,26.48%,99.76%,94.79%,95.78%,27.56%,3.90%,2.56%,3.91%,2.66%
24,23-<24 mo,5,0,5,+,+,99.74%,94.55%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 7.68421 intervals; Relative = 7.89654 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Stomach/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
